Tidsmerke;Kjønn;Alder;Utdanning;Viktig;helsenorge1;fb1;mainstream1;faktisk1;resett1;fhi1;helsenorge_tiltro;facebook_tiltro;mainstream_tiltro;faktisk_tiltro;resett_tiltro;fhi_tiltro;frekvens;enklere_forklart;vanskelig_finne;mye_info;vanskelig_forholdeseg;mest_forklarende;forklarer_retningslinjer;foretrekker_bilde
2021/01/15 4:10:10 p.m. CET;1;0;3;1;3;3;4;1;0;3;4;1;4;3;0;4;4;3;3;4;3;0;0;0
2021/01/15 6:20:56 p.m. CET;1;2;1;1;1;0;4;0;0;3;4;2;4;0;0;3;4;3;2;3;3;0;0;0
2021/01/15 6:22:12 p.m. CET;0;2;0;0;1;0;4;1;1;1;3;2;3;3;3;4;3;3;1;4;3;0;1;1
2021/01/16 2:23:20 p.m. CET;0;0;3;1;1;1;4;1;0;3;4;2;4;4;0;4;4;3;1;3;3;0;1;1
2021/01/16 2:40:45 p.m. CET;1;1;1;1;1;3;4;2;0;3;4;2;4;2;2;4;3;3;3;2;3;0;1;1
2021/01/16 2:45:50 p.m. CET;1;0;3;1;0;0;4;0;0;0;4;1;4;1;1;4;4;3;3;4;4;0;1;1
2021/01/16 3:28:25 p.m. CET;1;0;3;1;3;3;4;3;0;1;4;3;4;4;0;4;4;3;1;3;1;0;1;1
2021/01/16 5:42:17 p.m. CET;1;1;3;1;4;0;4;0;0;4;4;0;4;0;0;4;4;3;0;4;0;0;1;1
2021/01/16 5:43:42 p.m. CET;0;2;1;1;1;4;4;1;0;1;4;3;4;4;0;4;4;1;0;2;0;1;1;1
2021/01/16 6:39:51 p.m. CET;0;0;3;1;0;1;3;0;0;3;4;1;4;0;0;4;1;1;3;2;3;1;0;0
2021/01/16 7:05:09 p.m. CET;1;0;3;1;1;0;4;0;0;1;4;1;4;4;2;4;4;4;3;4;4;0;1;1
2021/01/16 7:11:48 p.m. CET;1;2;3;1;0;1;4;3;0;4;4;2;4;4;0;4;4;1;0;1;0;1;0;1
2021/01/16 8:02:49 p.m. CET;0;0;3;1;0;1;4;1;0;3;4;2;3;4;2;4;4;3;3;3;1;0;1;1
2021/01/16 8:54:23 p.m. CET;0;0;3;1;3;0;3;0;0;3;4;1;3;2;2;4;3;3;2;1;1;0;1;1
2021/01/17 12:13:50 a.m. CET;0;1;3;1;1;0;4;0;0;1;4;0;3;0;0;4;3;3;3;1;4;0;1;1
2021/01/17 10:02:45 a.m. CET;1;0;3;1;1;1;4;0;0;1;4;3;4;2;2;4;4;1;0;3;1;0;1;1
2021/01/17 10:23:29 a.m. CET;1;2;3;1;1;0;4;0;0;4;4;2;3;2;0;4;3;2;0;0;0;0;1;1
2021/01/17 11:38:47 a.m. CET;1;0;3;1;0;0;4;0;0;3;4;1;4;3;0;4;3;0;1;3;0;0;1;1
2021/01/17 12:05:39 p.m. CET;0;0;3;1;0;0;4;0;0;0;4;0;3;2;2;4;3;2;1;3;3;0;1;1
2021/01/17 12:05:52 p.m. CET;1;0;3;1;0;0;4;0;0;0;4;1;4;2;2;4;4;3;1;3;4;0;1;1
2021/01/17 12:07:08 p.m. CET;1;2;3;1;3;3;4;0;0;4;4;2;3;2;2;4;3;3;1;3;0;0;1;1
2021/01/17 12:13:33 p.m. CET;1;0;3;1;2;3;4;0;0;4;3;1;3;0;0;4;4;2;1;3;3;0;1;1
2021/01/17 12:13:35 p.m. CET;1;0;3;1;3;1;4;0;0;3;4;1;3;2;2;4;3;3;1;4;3;0;1;1
2021/01/17 12:14:59 p.m. CET;0;2;3;1;3;1;4;0;0;3;4;0;3;2;0;4;4;4;0;1;3;1;1;0
2021/01/17 12:26:11 p.m. CET;0;0;2;1;3;0;3;0;0;3;4;1;3;2;2;4;3;3;1;1;3;0;1;1
2021/01/17 12:30:36 p.m. CET;0;0;3;1;3;1;4;4;0;3;4;1;3;3;0;4;4;4;4;3;3;0;1;1
2021/01/17 12:31:57 p.m. CET;1;0;3;1;0;0;4;0;0;4;0;0;1;0;0;4;5;0;0;0;0;0;0;1
2021/01/17 12:34:53 p.m. CET;0;1;3;0;0;0;3;0;0;0;3;0;3;0;0;4;3;0;0;3;2;1;1;1
2021/01/17 12:40:22 p.m. CET;1;1;3;1;1;4;4;1;0;3;4;3;3;3;1;4;3;2;1;1;3;0;1;1
2021/01/17 12:44:14 p.m. CET;1;0;3;1;1;1;4;0;0;4;4;2;3;2;0;4;3;0;0;0;0;0;1;1
2021/01/17 12:58:39 p.m. CET;1;0;1;0;1;3;3;0;0;0;3;2;2;0;0;0;3;3;0;4;2;1;1;1
2021/01/17 1:02:00 p.m. CET;1;0;3;1;0;3;3;0;0;0;3;2;3;2;2;3;3;4;1;3;2;0;1;1
2021/01/17 1:05:31 p.m. CET;1;0;3;1;1;1;4;0;0;1;4;1;3;2;2;4;4;3;0;3;1;0;1;1
2021/01/17 1:07:32 p.m. CET;1;0;3;1;3;1;3;0;0;0;3;1;2;2;2;2;3;3;0;2;4;0;1;1
2021/01/17 1:08:10 p.m. CET;1;0;3;0;0;1;3;1;0;0;4;1;3;4;1;4;3;0;0;3;0;0;0;1
2021/01/17 1:11:20 p.m. CET;1;2;3;0;3;0;3;0;0;0;4;2;3;2;2;2;1;3;0;0;3;0;1;1
2021/01/17 1:22:25 p.m. CET;0;0;3;0;0;0;1;0;0;0;2;2;2;2;2;2;1;3;3;2;3;0;1;1
2021/01/17 1:31:15 p.m. CET;1;0;3;1;3;4;4;0;2;3;4;1;3;1;2;4;3;3;3;2;3;0;1;1
2021/01/17 1:47:51 p.m. CET;0;2;1;1;0;4;4;0;0;1;3;3;3;2;2;4;4;1;1;0;1;0;1;1
2021/01/17 2:09:39 p.m. CET;0;0;3;1;0;0;4;4;0;4;4;0;4;4;0;4;5;1;1;0;0;0;1;1
2021/01/17 2:10:56 p.m. CET;0;0;2;1;1;0;3;0;0;3;3;0;3;2;2;4;4;4;3;2;3;0;1;1
2021/01/17 2:47:01 p.m. CET;1;1;1;1;3;3;4;0;0;3;4;4;4;2;2;4;3;0;1;1;1;0;1;1
2021/01/17 2:53:27 p.m. CET;1;0;3;1;0;0;4;0;0;3;4;1;3;1;1;4;3;4;0;0;0;1;1;1
2021/01/17 3:46:22 p.m. CET;1;2;3;1;0;3;4;0;0;0;4;2;4;2;2;4;4;0;3;3;3;0;1;1
2021/01/17 4:10:24 p.m. CET;1;1;3;1;3;1;4;0;0;3;4;3;4;2;2;4;3;3;0;0;0;0;1;1
2021/01/17 4:14:32 p.m. CET;1;0;3;0;0;4;4;0;0;1;2;3;4;2;2;4;1;2;0;3;3;1;1;1
2021/01/17 4:19:18 p.m. CET;0;0;3;0;0;1;4;0;0;3;3;1;3;1;0;3;3;2;1;2;1;1;0;0
2021/01/17 4:24:27 p.m. CET;1;0;3;1;4;1;4;0;0;1;4;1;3;0;0;4;4;3;1;2;4;1;1;0
2021/01/17 4:29:34 p.m. CET;1;2;3;0;0;3;1;0;0;1;3;3;3;2;0;3;1;0;2;3;4;1;0;0
2021/01/17 4:31:44 p.m. CET;0;0;3;1;1;1;4;0;0;1;4;1;4;4;0;4;4;1;0;3;1;1;0;0
2021/01/17 4:33:08 p.m. CET;1;0;3;2;1;3;3;1;0;3;4;2;3;4;2;4;3;3;3;4;4;0;1;1
2021/01/17 4:47:15 p.m. CET;1;2;3;1;3;3;3;0;0;3;3;2;2;2;2;3;3;1;1;3;3;0;1;1
2021/01/17 5:00:17 p.m. CET;0;0;3;1;2;0;4;3;0;3;2;1;3;4;0;4;3;3;0;3;0;1;0;0
2021/01/17 6:16:21 p.m. CET;1;0;3;1;2;1;4;0;0;3;4;0;4;0;0;4;3;2;3;1;1;1;1;1
2021/01/17 6:19:48 p.m. CET;1;2;3;1;0;0;3;0;0;4;4;1;4;4;0;4;1;2;1;1;0;0;1;1
2021/01/17 6:34:08 p.m. CET;0;0;3;1;0;0;4;0;0;0;4;1;4;2;2;4;3;1;0;3;2;0;1;1
2021/01/17 7:32:28 p.m. CET;1;0;3;1;3;3;4;0;0;1;4;1;4;2;2;4;3;3;0;1;0;0;0;0
2021/01/17 7:38:41 p.m. CET;1;0;3;1;3;0;3;0;0;3;4;0;4;2;2;4;3;4;4;4;4;0;1;1
2021/01/17 7:44:09 p.m. CET;1;2;1;1;1;1;3;0;0;3;3;2;3;2;2;3;3;4;3;2;4;0;1;1
2021/01/17 7:55:38 p.m. CET;1;0;1;0;3;0;3;0;0;3;2;1;3;0;0;3;1;4;3;2;3;0;1;1
2021/01/17 8:11:21 p.m. CET;1;1;3;1;0;0;4;0;0;3;4;1;3;4;0;4;4;3;1;3;0;0;1;1
2021/01/17 8:12:33 p.m. CET;0;1;3;1;3;1;4;3;0;3;4;0;3;3;0;4;4;4;4;1;4;0;1;1
2021/01/17 8:19:33 p.m. CET;1;2;3;1;3;0;4;3;0;4;3;1;3;4;0;3;4;4;1;4;3;0;1;1
2021/01/17 8:24:19 p.m. CET;1;0;3;1;3;4;4;2;0;3;4;0;3;2;0;4;4;3;0;3;3;0;1;1
2021/01/17 8:42:03 p.m. CET;1;1;3;1;1;3;1;0;1;4;2;2;1;0;1;4;3;0;0;4;3;1;1;0
2021/01/17 9:06:43 p.m. CET;0;2;2;1;0;0;4;0;0;1;4;1;3;1;0;4;3;3;3;4;1;0;1;1
2021/01/17 9:45:06 p.m. CET;1;2;3;1;1;3;3;0;0;1;3;3;3;2;2;3;3;1;1;0;3;0;1;1
2021/01/17 9:54:25 p.m. CET;0;2;3;1;1;0;4;1;0;3;4;0;3;4;0;4;3;3;1;3;3;0;1;1
2021/01/17 10:02:12 p.m. CET;1;1;3;1;1;0;4;0;0;3;4;0;3;0;0;4;3;1;1;3;1;0;1;1
2021/01/17 10:07:05 p.m. CET;0;1;3;1;2;0;3;3;0;4;4;1;3;4;0;4;3;1;0;3;3;1;0;0
2021/01/17 10:08:20 p.m. CET;Annet;1;3;1;0;0;3;0;0;1;4;0;3;3;0;4;3;0;0;3;0;1;1;0
2021/01/17 10:08:31 p.m. CET;0;1;3;1;3;1;4;0;0;3;4;1;4;4;1;4;4;3;0;0;0;1;1;1
2021/01/17 10:08:56 p.m. CET;0;0;3;1;1;4;4;0;0;1;4;1;3;3;2;4;3;3;1;3;4;0;1;0
2021/01/17 10:09:39 p.m. CET;0;0;3;1;1;1;4;1;0;1;4;0;4;4;0;4;4;3;1;1;0;1;0;0
2021/01/17 10:13:03 p.m. CET;0;0;3;1;3;1;4;0;0;3;4;0;4;4;0;4;3;1;0;1;0;1;1;1
2021/01/17 10:14:25 p.m. CET;0;0;3;0;0;0;3;0;0;1;3;1;2;3;0;3;3;3;0;2;3;1;1;1
2021/01/17 10:14:25 p.m. CET;0;1;3;1;0;0;4;0;0;0;4;1;3;2;2;4;4;4;3;3;3;0;1;1
2021/01/17 10:16:34 p.m. CET;0;0;3;1;1;0;4;0;0;3;4;1;4;4;3;4;4;1;1;0;3;1;1;1
2021/01/17 10:17:21 p.m. CET;0;0;3;1;0;0;3;0;0;3;4;1;4;2;2;4;3;3;3;3;3;1;1;1
2021/01/17 10:19:47 p.m. CET;0;0;3;1;0;0;4;0;0;3;4;0;4;2;2;4;3;4;0;1;0;0;1;1
2021/01/17 10:22:09 p.m. CET;0;1;3;1;0;0;4;0;0;1;4;1;3;3;0;4;3;3;1;2;0;0;1;1
2021/01/17 10:24:59 p.m. CET;1;1;3;1;3;1;3;0;0;4;4;3;4;2;2;4;5;0;0;0;0;0;1;1
2021/01/17 10:31:59 p.m. CET;0;1;3;1;1;1;4;1;0;1;4;2;3;4;0;4;3;3;1;3;1;0;1;1
2021/01/17 10:32:12 p.m. CET;0;0;3;1;3;2;4;3;0;3;4;1;3;3;0;4;3;0;0;0;0;1;0;0
2021/01/17 10:35:51 p.m. CET;1;0;3;1;4;1;4;0;0;4;4;0;3;0;0;4;4;1;4;3;0;1;1;1
2021/01/17 10:52:32 p.m. CET;0;0;3;1;0;0;4;3;0;3;4;0;4;4;0;3;4;3;3;3;0;0;0;0
2021/01/17 11:16:31 p.m. CET;0;1;3;1;0;0;4;0;0;0;4;0;4;0;0;4;3;3;4;1;0;1;0;0
2021/01/17 11:43:12 p.m. CET;0;0;3;1;1;0;4;1;0;1;4;1;4;4;0;4;3;1;0;3;0;0;1;1
2021/01/18 12:04:46 a.m. CET;0;1;3;1;0;1;4;0;0;3;3;1;3;3;0;3;4;4;3;1;3;0;1;1
2021/01/18 4:53:54 a.m. CET;0;0;3;1;3;3;4;0;0;1;4;1;3;2;2;4;3;4;3;4;4;1;0;0
2021/01/18 7:25:46 a.m. CET;0;1;3;1;1;1;3;0;0;1;4;1;3;2;2;4;3;3;0;3;3;0;1;1
2021/01/18 7:53:18 a.m. CET;1;0;3;1;1;1;4;0;0;4;4;2;3;0;0;4;4;4;4;4;4;0;1;1
2021/01/18 8:36:12 a.m. CET;0;0;3;1;0;0;4;0;4;3;4;0;4;0;0;4;4;1;0;1;1;0;1;1
2021/01/18 9:01:58 a.m. CET;0;0;3;1;1;1;4;0;0;1;4;1;3;4;2;4;3;1;2;3;0;0;1;1
2021/01/18 9:06:43 a.m. CET;1;0;1;1;3;3;3;0;0;3;4;2;4;2;2;4;3;4;3;4;4;0;1;1
2021/01/18 9:10:30 a.m. CET;0;0;3;1;4;1;4;1;0;4;4;1;2;4;0;4;4;3;2;2;0;0;1;1
2021/01/18 10:00:28 a.m. CET;1;0;3;1;0;0;4;0;0;3;4;1;4;2;2;4;3;4;4;3;4;0;1;1
2021/01/18 10:41:32 a.m. CET;1;1;3;1;1;0;1;0;0;2;2;0;1;0;0;2;3;2;1;0;1;0;1;1
2021/01/18 10:47:01 a.m. CET;Annet;0;3;0;0;0;3;0;0;0;4;1;4;2;2;4;1;1;0;3;1;1;0;0
2021/01/18 10:53:47 a.m. CET;1;1;3;1;3;0;1;0;0;4;4;0;1;0;0;4;3;4;4;1;4;0;1;1
2021/01/18 10:57:29 a.m. CET;0;1;3;1;3;1;4;1;0;0;4;1;4;4;0;4;3;1;0;4;3;0;1;1
2021/01/18 11:00:28 a.m. CET;1;0;3;1;3;1;4;0;0;3;4;3;4;2;2;4;4;0;0;0;0;1;1;1
2021/01/18 11:00:56 a.m. CET;0;0;3;1;3;0;4;0;0;0;4;0;2;0;0;4;3;3;3;1;3;0;1;1
2021/01/18 11:11:58 a.m. CET;0;0;3;2;1;4;4;0;0;3;4;3;3;2;2;4;3;4;3;3;3;0;1;1
2021/01/18 11:29:51 a.m. CET;0;0;3;1;3;3;4;0;0;3;4;1;3;2;2;4;3;3;0;3;1;0;1;1
2021/01/18 6:03:12 p.m. CET;1;0;3;1;1;1;4;0;0;1;4;1;3;3;3;4;3;4;3;3;3;0;1;1
2021/01/19 12:20:33 a.m. CET;1;2;1;1;1;0;1;1;1;1;1;1;1;1;1;1;4;1;0;1;1;0;1;1
2021/01/19 6:51:55 a.m. CET;0;0;1;1;3;0;3;0;0;0;3;1;2;2;2;3;3;3;1;2;3;1;1;0
2021/01/19 9:13:00 a.m. CET;0;0;3;1;1;0;4;3;0;3;4;0;4;4;0;4;4;1;0;2;1;1;0;0
2021/01/19 3:18:03 p.m. CET;0;0;3;1;3;1;4;3;0;1;4;2;4;4;2;4;4;3;0;0;2;1;0;0
2021/01/19 5:04:03 p.m. CET;1;0;3;1;1;0;4;0;0;3;4;2;4;2;2;4;4;4;0;3;3;0;1;1
2021/01/19 5:32:51 p.m. CET;1;1;3;1;1;3;3;0;0;4;4;3;2;2;2;4;3;3;1;0;4;0;1;1
2021/01/19 6:14:07 p.m. CET;0;0;3;1;3;3;4;0;0;3;4;1;4;4;0;4;4;3;1;1;0;0;1;1
2021/01/19 7:47:00 p.m. CET;1;0;1;1;1;1;3;0;0;3;4;1;3;2;2;4;3;3;1;3;1;0;1;1
2021/01/19 8:23:35 p.m. CET;1;0;3;1;3;1;4;0;0;1;4;2;4;2;2;4;3;1;0;1;1;0;1;1
2021/01/19 9:46:27 p.m. CET;0;0;3;1;3;2;4;0;0;3;4;0;4;4;2;4;3;3;3;4;2;1;1;0
2021/01/19 10:16:02 p.m. CET;1;0;3;1;3;0;4;0;0;3;4;1;4;0;2;4;3;3;3;3;4;0;1;1
2021/01/19 10:18:09 p.m. CET;1;0;3;1;1;0;4;0;0;3;4;1;4;2;2;4;3;1;1;1;3;0;1;1
2021/01/22 11:54:23 a.m. CET;0;0;3;0;0;1;1;0;0;1;4;2;4;2;2;4;1;1;1;2;2;0;1;1